store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
1,"Fayetteville-Springdale-Rogers, AR-MO",2110 W Walnut St,Rogers,AR,72756-3246,36.331306,-94.148969,,Other (Non-Proto),Northwest Arkansas,Open
2,"Harrison, AR",161 N Walmart Dr,Harrison,AR,72601-1912,36.268968,-93.139134,,Expansion (Full) Plus,Northwest Arkansas,Open
3,Remaining US,30983 Highway 441 S,Commerce,GA,30529-6655,34.247784,-83.456336,,Expansion (Full),Atlanta North,Open
4,"Fayetteville-Springdale-Rogers, AR-MO",2901 Highway 412 E,Siloam Springs,AR,72761-8673,36.183446,-94.512546,Tenant,Expansion (Rear Backroom),Northwest Arkansas,Open
5,"Little Rock-North Little Rock-Conway, AR",1155 Hwy 65 North,Conway,AR,72032-0000,35.108595,-92.437042,,Other (Non-Proto),Little Rock,Open
7,"Little Rock-North Little Rock-Conway, AR",9053 Highway 107,Sherwood,AR,72120-2933,34.838869,-92.236771,,Centennial Split,Little Rock,Open
8,Remaining US,1621 North Business 9,Morrilton,AR,72110-4505,35.168854,-92.726739,,Tenant,Little Rock,Open
9,Remaining US,1303 S Main St,Sikeston,MO,63801-9360,36.857344,-89.586117,,Seafood External,Joplin,Open
10,"Tahlequah, OK",2020 S Muskogee Ave,Tahlequah,OK,74464-5439,35.888807,-94.979814,,Expansion (Frozen),Tulsa,Open
11,"Mountain Home, AR",65 Wal Mart Dr,Mountain Home,AR,72653-6784,36.355015,-92.340882,Existing Rear,Seafood Internal High,NE Arkansas,Open
12,"Tulsa, OK",1500 S Lynn Riggs Blvd,Claremore,OK,74017-8353,36.293957,-95.627183,,Modified Split,Tulsa,Open
13,"Joplin, MO",2705 Grand Ave,Carthage,MO,64836-7907,37.141982,-94.313254,,Other (Non-Proto),Joplin,Open
14,"Lebanon, MO",1800 S Jefferson Ave,Lebanon,MO,65536-4208,37.663505,-92.645972,,Expansion (Full),Springfield,Open
15,"West Plains, MO",1310 Preacher Roe Blvd,West Plains,MO,65775-2938,36.714712,-91.870322,,Seafood Internal Plus,Springfield,Open
16,"Fort Smith, AR-OK",2214 Fayetteville Rd,Van Buren,AR,72956-6508,35.469087,-94.353342,,Stockroom Middle High,Fort Smith,Open
17,"Joplin, MO",3200 Lusk Dr,Neosho,MO,64850-2028,36.839161,-94.397282,,Tenant,Joplin,Open
19,"Poplar Bluff, MO",333 S Westwood Blvd,Poplar Bluff,MO,63901-5519,36.755743,-90.411807,,Seafood External High,St Louis South,Open
20,Remaining US,1712 E Ohio St,Clinton,MO,64735-2402,38.362772,-93.750585,,Tenant,Springfield,Open
21,"Fort Leonard Wood, MO",185 Saint Robert Blvd,Saint Robert,MO,65584-3311,37.825154,-92.152265,,Rear Backroom,St Louis South,Open
22,Remaining US,4901 S Mill St,Pryor,OK,74361-6837,36.262553,-95.329971,,Expansion (Full),Tulsa,Open
23,"Ruston, LA",1201 N Service Rd E,Ruston,LA,71270-2917,32.543518,-92.624043,,Seafood Internal Plus High,Monroe,Open
24,"Little Rock-North Little Rock-Conway, AR",2000 John Harden Dr,Jacksonville,AR,72076-2730,34.885192,-92.112673,,Seafood External,Little Rock,Open
26,"Kansas City, MO-KS",5000 10th Ave,Leavenworth,KS,66048-5514,39.268799,-94.930359,In-Lane,Centennial Split,Kansas City,Open
28,"Miami, OK",2415 N Main St,Miami,OK,74354-2232,36.904546,-94.880331,,Tenant,Tulsa,Open
29,"Jefferson City, MO",724 Stadium West Blv,Jefferson City,MO,65109-4772,38.580049,-92.219907,,Other (Non-Proto),Columbia MO,Open
30,Remaining US,2025 W Business Us Highway 60,Dexter,MO,63841-2879,36.801185,-89.992373,,Tenant,St Louis South,Open
31,"Fort Smith, AR-OK",3108 N Broadway St,Poteau,OK,74953-5410,35.094581,-94.628209,,Tenant,Tulsa,Open
34,Remaining US,2250 Lincoln Ave,Nevada,MO,64772-4258,37.832201,-94.326552,,Combined Stockroom,Joplin,Open
35,"Manhattan, KS",101 Bluemont Ave,Manhattan,KS,66502-5093,39.188462,-96.556291,,Modified Split,Junction City,Open
36,"Paragould, AR",2802 W Kingshighway,Paragould,AR,72450-2617,36.057305,-90.522942,,Expansion (Ambient),NE Arkansas,Open
37,"Farmington, MO",707 Walton Dr,Farmington,MO,63640-1950,37.789468,-90.435275,,Other (Non-Proto),St Louis South,Open
38,Remaining US,1907 Se Washington St,Idabel,OK,74745-5253,33.898013,-94.803537,,Other (Non-Proto),OKC South,Open
39,Remaining US,2500 S Main St,Fort Scott,KS,66701-8724,37.807935,-94.708803,,Combined Stockroom,Columbia MO,Open
41,"Bartlesville, OK",4000 Se Green Country Rd,Bartlesville,OK,74006-5000,36.740666,-95.931645,,Seafood Internal Plus,Tulsa,Open
42,"Coffeyville, KS",1863 Cr 5300,Coffeyville,KS,67337-8301,37.042359,-95.579038,,Tenant,Columbia MO,Open
43,"Junction City, KS",521 E Chestnut St,Junction City,KS,66441-9410,39.018965,-96.820674,,Rear Backroom,Junction City,Open
45,"Jonesboro, AR",1815 E Highland Dr,Jonesboro,AR,72401-6118,35.818991,-90.685269,Feature Space,Expansion (Ambient),NE Arkansas,Open
46,"Springfield, MO",2451 S Springfield Ave,Bolivar,MO,65613-9123,37.591722,-93.403975,,Expansion (Rear Backroom),Springfield,Open
47,"Fort Smith, AR-OK",1101 W Ruth Ave,Sallisaw,OK,74955-7252,35.451011,-94.801812,Tenant,Modified Split,Tulsa,Open
48,Remaining US,885 E Us Highway 60,Monett,MO,65708-9367,36.911766,-93.903127,,Other (Non-Proto),Joplin,Open
52,"Hot Springs, AR",1601 Albert Pike Rd,Hot Springs,AR,71913-4020,34.490984,-93.089402,Tenant,Seafood External High,Little Rock,Open
54,"Fayetteville-Springdale-Rogers, AR-MO",2004 S Pleasant St,Springdale,AR,72764-6204,36.166213,-94.146938,,Tenant,Northwest Arkansas,Open
58,"Russellville, AR",2409 E Main St,Russellville,AR,72802-9619,35.280506,-93.105258,Inlane,Centennial,Little Rock,Open
59,"Joplin, MO",1501 S Range Line Rd,Joplin,MO,64804-3230,37.072913,-94.472943,,Centennial,Joplin,Open
60,"St. Louis, MO-IL",101 Highway 47 E,Troy,MO,63379-3100,38.988754,-90.981993,,Other (Non-Proto),St Louis,Open
61,"Warrensburg, MO",301 E Cooper St,Warrensburg,MO,64093-1260,38.781127,-93.735373,,Seafood Internal Plus,Kansas City,Open
63,"Tulsa, OK",410 S Dewey Ave,Wagoner,OK,74467-5500,35.956679,-95.397494,,Other (Non-Proto),Tulsa,Open
65,"St. Louis, MO-IL",350 Park Ridge Rd,Sullivan,MO,63080-3334,38.220883,-91.154741,,Tenant,St Louis South,Open
66,Remaining US,230 Market St.,Clarksville,AR,72830-9069,35.448688,-93.460473,,Expansion (Other),Fort Smith,Open
69,"St. Louis, MO-IL",650 S Truman Blvd,Festus,MO,63028-2235,38.212063,-90.387999,,Seafood Internal Plus High,St Louis South,Open
70,"Memphis, TN-MS-AR",798 W Service Rd,West Memphis,AR,72301-1727,35.165474,-90.199945,,Seafood Internal,Memphis,Open
72,"Pittsburg, KS",2710 N Broadway St,Pittsburg,KS,66762-2625,37.433971,-94.702312,,Modified Split Backroom,Columbia MO,Open
73,"Tulsa, OK",1002 W Taft St,Sapulpa,OK,74066-8720,35.986336,-96.135076,,Seafood External,Tulsa,Open
75,"Alexandria, LA",3636 Monroe Hwy,Pineville,LA,71360-4127,31.367114,-92.406663,,Seafood External,Alexandria LA,Open
76,Remaining US,1000 W Trimble Ave,Berryville,AR,72616-4603,36.376273,-93.587015,,Modified Split Backroom,Northwest Arkansas,Open
77,"Austin-Round Rock, TX",3701 N Main St,Taylor,TX,76574-4975,30.598605,-97.418476,,Combined Stockroom,Round Rock,Open
78,"Springfield, MO",14740 State Hwy #38,Marshfield,MO,65706-8950,37.337928,-92.939632,,Other (Non-Proto),Springfield,Open
79,"Joplin, MO",2623 W 7th St,Joplin,MO,64801-3300,37.086952,-94.545889,,Expansion (Rear Backroom),Joplin,Open
80,"Columbia, MO",3001 W Broadway,Columbia,MO,65203-3106,38.957057,-92.382346,,Garden Center,Columbia MO,Open
83,"Magnolia, AR",60 Highway 79 N,Magnolia,AR,71753-3265,33.276654,-93.212118,,Long Modified Split,NE Arkansas,Open
85,"Little Rock-North Little Rock-Conway, AR",17309 Interstate 30 S,Benton,AR,72015-2927,34.577512,-92.580185,,,Little Rock,Open
86,"Springfield, MO",2825 N Kansas Expy,Springfield,MO,65803-1017,37.248879,-93.313943,,Rear Backroom,Springfield,Open
87,"Shreveport-Bossier City, LA",1379 Homer Rd,Minden,LA,71055-6277,32.628072,-93.251136,,Tenant,Shreveport,Open
89,Remaining US,94 Cecil St,Camdenton,MO,65020-7057,38.025738,-92.722944,,Modified Rear Backroom,St Louis South,Open
90,Remaining US,2115 S Main St,Grove,OK,74344-5327,36.576474,-94.765605,,Tenant,Tulsa,Open
93,"Memphis, TN-MS-AR",201 Lanny Bridges Ave,Covington,TN,38019-1615,35.545922,-89.665263,,Centennial Split,Memphis,Open
94,"Memphis, TN-MS-AR",8445 Us Highway 51 N,Millington,TN,38053-1514,35.357602,-89.897691,,Seafood Internal High,Memphis,Open
95,"Farmington, MO",407 No. State St,Desloge,MO,63601-3053,37.883974,-90.513279,,Long Modified Split,St Louis South,Open
96,"Kansas City, MO-KS",1700 N State Route 291,Harrisonville,MO,64701-1218,38.666128,-94.369395,,Seafood Internal Plus,Kansas City,Open
98,"Bastrop, LA",6091 Mer Rouge Rd,Bastrop,LA,71220-6709,32.775799,-91.870221,,Tenant,,Open
100,"Fayetteville-Springdale-Rogers, AR-MO",406 S Walton Blvd,Bentonville,AR,72712-5705,36.368173,-94.224844,,Other (Non-Proto),Northwest Arkansas,Open
101,"Rolla, MO",500 S Bishop Ave,Rolla,MO,65401-4313,37.937606,-91.779138,,Expansion (Full) Plus,St Louis South,Open
103,"Shawnee, OK",196 Shawnee Mall Dr,Shawnee,OK,74804-1337,35.386756,-96.921743,,Stockroom Middle High,Tulsa,Open
104,Remaining US,15427 S First St,Milan,TN,38358-6475,35.876169,-88.747912,,Centennial,Jackson TN,Open
105,"Corinth, MS",2301 S Harper Rd,Corinth,MS,38834-6771,34.910102,-88.501997,,Seafood Internal Plus,Huntsville,Open
107,"Martin, TN",134 Courtright Rd,Martin,TN,38237-1606,36.355043,-88.883693,,Other (Non-Proto),Jackson TN,Open
108,"Oklahoma City, OK",1608 S Division St,Guthrie,OK,73044-5015,35.862878,-97.422693,,Tenant,OKC North,Open
110,"Orlando-Kissimmee-Sanford, FL",16313 New Independence Parkway,Winter Garden,FL,34787-0000,28.476488,-81.629452,,Trifecta Modified Split,Orlando,Open
111,Remaining US,2700 S Santa Fe Ave,Chanute,KS,66720-3204,37.653726,-95.451051,,Combined Stockroom,Columbia MO,Open
112,"Starkville, MS",1010 Highway 12 W,Starkville,MS,39759-9167,33.444479,-88.851522,Update Existing (Front),Seafood Internal,Starkville,Open
113,"Oklahoma City, OK",2001 S 1st St,Chickasha,OK,73018-6007,35.031116,-97.931068,,Stockroom Middle High,OKC South,Open
118,Remaining US,1515 Highway 278 E,Amory,MS,38821-5909,33.968663,-88.457036,,Tenant,Tupelo,Open
119,"Batesville, AR",3150 Harrison St,Batesville,AR,72501-7515,35.762726,-91.614251,,Tenant,NE Arkansas,Open
120,Remaining US,2716 N Central Ave,Humboldt,TN,38343-1560,35.840797,-88.911864,,Centennial,Jackson TN,Open
121,"Tulsa, OK",1800 S Wood Dr,Okmulgee,OK,74447-6826,35.605722,-95.964454,,Tenant,Tulsa,Open
123,Remaining US,1500 E Wrangler Blvd,Seminole,OK,74868-3518,35.248363,-96.654556,,Small SC Corridor,Tulsa,Open
125,"Fort Smith, AR-OK",2425 S Zero St,Fort Smith,AR,72901-8663,35.329176,-94.406411,,Seafood External High,Fort Smith,Open
126,"Little Rock-North Little Rock-Conway, AR",2700 S Shackleford Rd,Little Rock,AR,72205-6918,34.728364,-92.397805,,Centennial Plus,Little Rock,Open
127,"Malvern, AR",1910 Martin Luther King Blvd,Malvern,AR,72104-2203,34.390735,-92.832735,,Combined Stockroom,Little Rock,Open
128,"Jonesboro, AR",1911 W Parker Rd,Jonesboro,AR,72404-8465,35.815989,-90.734436,,Tenant,NE Arkansas,Open
129,"Ardmore, OK",1715 N Commerce St,Ardmore,OK,73401-1535,34.193239,-97.145321,,Seafood Internal Plus High,OKC South,Open
130,"Muskogee, OK",1000 W Shawnee St,Muskogee,OK,74401-3509,35.772638,-95.373154,,Centennial Split,Tulsa,Open
132,Remaining US,200 Starlite Dr,Kingfisher,OK,73750-4922,35.828722,-97.936712,,Small SC Side Stockroom,OKC North,Open
134,"Elk City, OK",210 Regional Dr,Elk City,OK,73644-6472,35.409139,-99.376497,,Split Backroom,OKC North,Open
135,Remaining US,1000 Graves St,Chillicothe,MO,64601-3071,39.776525,-93.556242,,Long Modified Split,Kansas City,Open
137,"Stillwater, OK",111 N Perkins Rd,Stillwater,OK,74075-5507,36.124573,-97.048223,,Seafood Internal Plus,OKC North,Open
138,"Springfield, MO",1923 E Kearney St,Springfield,MO,65803-4607,37.241703,-93.258681,,Modified Split,Springfield,Open
139,"Oklahoma City, OK",2015 S Green Ave,Purcell,OK,73080-6200,34.987567,-97.370201,,Combined Stockroom,OKC South,Open
140,"Lufkin, TX",2500 Daniel Mccall Dr,Lufkin,TX,75904-7129,31.299619,-94.731467,,Modified Split,Nacagdoches,Open
141,"Fort Smith, AR-OK",8301 Rogers Ave,Fort Smith,AR,72903-5236,35.350045,-94.338946,,Modified Split Backroom,Forth Smith,Open
143,Remaining US,310 W 5th St,Benton,KY,42025-1102,36.869365,-88.360433,,Tenant,Oak Grove,Open
144,"Fayetteville-Springdale-Rogers, AR-MO",2875 W Mrtn Luther K,Fayetteville,AR,72704-7625,36.050008,-94.201133,,Seafood Internal Plus High,Northwest Arkansas,Open
147,"Sherman-Denison, TX",401 N Us Highway 75,Denison,TX,75020-1526,33.759263,-96.587522,Tenant,Seafood Internal Plus High,OKC South,Open
148,"Paris, TX",3855 Lamar Ave,Paris,TX,75462-5210,33.664649,-95.505874,,Seafood Internal Plus High,Texarkana,Open
150,"Woodward, OK",3215 Williams Ave,Woodward,OK,73801-6738,36.412267,-99.384074,,Expansion (Rear Backroom),OKC North,Open
151,"McAlester, OK",432 S George Nigh Expy,Mcalester,OK,74501-6025,34.919202,-95.740478,,Seafood Internal Plus High,OKC South,Open
152,"St. Louis, MO-IL",12862 State Route 21,De Soto,MO,63020-4742,38.150199,-90.574614,Inlane,Tenant,St Louis South,Open
154,"Kingsport-Bristol-Bristol, TN-VA",16032 Fifteen Mile Boulevard,Abingdon,VA,24211-0000,36.714643,-81.927722,,Split Backroom,Kingsport,Open
157,"Searcy, AR",3509 E Race Ave,Searcy,AR,72143-6202,35.247218,-91.687296,Other Income,Expansion (Ambient),Little Rock,Open
159,"Columbia, MO",415 Conley Rd,Columbia,MO,65201-6468,38.955108,-92.296805,,Seafood Internal,Columbia MO,Open
160,Remaining US,219 Highway 412,Ash Flat,AR,72513-9593,36.241189,-91.596294,,Other (Non-Proto),Little Rock,Open
163,"Nacogdoches, TX",4810 North St,Nacogdoches,TX,75965-1876,31.650027,-94.652353,,Seafood Internal Plus High,Nacagdoches,Open
164,"Tupelo, MS",100 Mccord Rd,Pontotoc,MS,38863-6245,34.285548,-89.021463,,Other (Non-Proto),Tupelo,Open
165,"Longview, TX",2121 Us Highway 79 S,Henderson,TX,75654-4405,32.130445,-94.802107,,Expansion (Frozen),Dallas East,Open
167,Remaining US,910 Unity Rd,Crossett,AR,71635-9424,33.136263,-91.942183,,Tenant,NE Arkansas,Open
168,"Tulsa, OK",12101 E 96th St N,Owasso,OK,74055-5320,36.295165,-95.838041,,Seafood External,Tulsa,Open
170,"Natchitoches, LA",925 Keyser Ave,Natchitoches,LA,71457-6267,31.750245,-93.066686,,Seafood Internal Plus High,Alexandria LA,Open
171,"Camden, AR",950 California Ave Sw,Camden,AR,71701-5308,33.567226,-92.836826,,Tenant,NE Arkansas,Open
172,"St. Louis, MO-IL",1701 A Roy Dr,Washington,MO,63090-5007,38.540459,-90.995238,,Centennial Split,St Louis South,Open
173,Remaining US,#1 Memorial Drive,Potosi,MO,63664-9318,37.923967,-90.771676,,Other (Non-Proto),St Louis South,Open
174,"Palm Bay-Melbourne-Titusville, FL",2700 Clearlake Rd,Cocoa,FL,32922-5716,28.395266,-80.753136,,Stockroom Middle,Palm Bay,Open
175,"Memphis, TN-MS-AR",560 W Poplar Ave,Collierville,TN,38017-6507,35.048344,-89.680991,In-Lane,Seafood Internal,Memphis,Open
177,"Paris, TN",1210 Mineral Wells Ave,Paris,TN,38242-4914,36.281121,-88.307935,,Other (Non-Proto),Jackson TN,Open
179,"Springfield, MO",3520 W Sunshine St,Springfield,MO,65807-0906,37.180389,-93.352394,,Combined Stockroom,Springfield,Open
180,"Jacksonville, TX",1311 S Jackson St,Jacksonville,TX,75766-3050,31.951409,-95.266334,,Other (Non-Proto),Dallas East,Open
181,"Texarkana, TX-AR",800 James Bowie Dr,New Boston,TX,75570-2334,33.470693,-94.403621,,Combined Stockroom,Texarkana,Open
182,"Greenville, MS",1831 Highway 1 S,Greenville,MS,38701-7355,33.367861,-91.043879,,Modified Split,,Open
184,"Kansas City, MO-KS",600 Ne Coronado Dr,Blue Springs,MO,64014-3084,39.024151,-94.255033,,Centennial Split,Kansas City,Open
185,"Gainesville, TX",1800 Lawrence St,Gainesville,TX,76240-2200,33.645667,-97.135941,,Seafood Internal,Northwest TX,Open
186,"Wichita, KS",301 S Village Rd,El Dorado,KS,67042-4087,37.814663,-96.892061,,Modified Rear Backroom,Wichita,Open
188,"Cape Girardeau, MO-IL",3439 William St,Cape Girardeau,MO,63701-9507,37.301315,-89.585896,,Expansion (Ambient),St Louis South,Open
189,"Kirksville, MO",2206 N Baltimore St,Kirksville,MO,63501-1906,40.216654,-92.579573,,Seafood Internal Plus High,Columbia MO,Open
192,"Nashville-Davidson--Murfreesboro--Franklin, TN",2200 Brookmeade Dr,Columbia,TN,38401-3994,35.598974,-87.051309,,Seafood Internal High,Nashville,Open
194,"Houston-The Woodlands-Sugar Land, TX",4900 Garth Rd,Baytown,TX,77521-2257,29.776343,-94.974393,,Seafood Internal High,Houston Southeast,Open
195,"Kansas City, MO-KS",2203 Patsy Ln,Excelsior Springs,MO,64024-7303,39.329598,-94.264923,In-Lane,Centennial Split High,Kansas City,Open
196,"Carbondale-Marion, IL",1450 E Main St,Carbondale,IL,62901-3140,37.738517,-89.186967,,Seafood Internal Plus,Lafayette-IN,Open
197,"Macomb, IL",1730 E Jackson St,Macomb,IL,61455-2531,40.461045,-90.641518,,Seafood Internal,Peoria,Open
198,"Centralia, IL",1870 W Main St,Salem,IL,62881-5838,38.625718,-88.981357,,Combined Stockroom,St Louis North,Open
199,"Lincoln, IL",825 Malerich Dr,Lincoln,IL,62656-9700,40.154263,-89.398031,,Centennial,Peoria,Open
200,"Jacksonville, IL",1941 W Morton Ave,Jacksonville,IL,62650-2620,39.719871,-90.270787,,Centennial,Springfield-IL,Open
201,"St. Louis, MO-IL",2608 Green Mount Commons Dr,Belleville,IL,62221-6742,38.522032,-89.922969,,Centennial Split,St Louis,Open
202,"Dallas-Fort Worth-Arlington, TX",16066 State Highway 121,Frisco,TX,75035-0000,33.128124,-96.736053,Inlane,Split Backroom,Dallas Northeast,Open
204,Remaining US,1500 Us Highway 62 W,Princeton,KY,42445-6106,37.110823,-87.918341,,Modified Split,Oak Grove,Open
206,"Dallas-Fort Worth-Arlington, TX",2041 N Redbud Blvd,Mckinney,TX,75069-8214,33.222004,-96.629954,,Modified Split,Dallas North,Open
212,"Oklahoma City, OK",333 N Interstate Dr,Norman,OK,73069-6326,35.221648,-97.481111,,Seafood External High,OKC South,Open
213,Remaining US,1205 W Ferdon St,Litchfield,IL,62056-4454,39.185516,-89.668415,,Rear Backroom,St Louis North,Open
214,Remaining US,800 W Gibson St,Jasper,TX,75951-4914,30.908289,-94.015453,,Tenant,Nacagdoches,Open
216,"Carbondale-Marion, IL",2802 Outer Road Drive,Marion,IL,62959-5207,37.748224,-88.971504,,Centennial Split,Lafayette-IN,Open
217,"Dallas-Fort Worth-Arlington, TX",801 W Main St,Lewisville,TX,75067-3556,33.047159,-97.013931,,Seafood External,Dallas Central,Open
219,"Sedalia, MO",3201 W Broadway Blvd,Sedalia,MO,65301-2118,38.706665,-93.271043,,Seafood Internal Plus High,Columbia MO,Open
220,"Dallas-Fort Worth-Arlington, TX",951 Sw Wilshire Blvd,Burleson,TX,76028-5714,32.527771,-97.337821,,Seafood Internal Plus High,Dallas West,Open
221,"Oklahoma City, OK",1200 Garth Brooks Blvd,Yukon,OK,73099-4107,35.490435,-97.764197,,Expansion (Ambient),OKC North,Open
222,Remaining US,1410 N Market St,Sparta,IL,62286-2302,38.141591,-89.701815,,Combined Stockroom,Lafayette-IN,Open
224,"Mount Vernon, IL",110 Davidson Rd,Mount Vernon,IL,62864-6741,38.309237,-88.958286,,Expansion (Rear Backroom),St Louis North,Open
227,"Oklahoma City, OK",2400 S Country Club Rd,El Reno,OK,73036-5801,35.511062,-97.976038,,Expansion (Full) Plus,OKC North,Open
228,"Dallas-Fort Worth-Arlington, TX",1616 W Henderson St,Cleburne,TX,76033-4123,32.341382,-97.415136,,Seafood Internal Plus High,Dallas West,Open
231,"Ada, OK",1419 N Country Club Rd,Ada,OK,74820-1836,34.789173,-96.656174,,Expansion (Full) Plus,OKC South,Open
234,"Kansas City, MO-KS",8301 N Church Rd,Kansas City,MO,64158-1106,39.243005,-94.459065,,Seafood Internal,Kansas City,Open
237,Remaining US,710 S Commercial St,Harrisburg,IL,62946-2346,37.728219,-88.532885,,Centennial,Lafayette-IN,Open
240,"Dallas-Fort Worth-Arlington, TX",2701 State Highway 50,Commerce,TX,75428-2830,33.235117,-95.914805,Tenant,Other (Non-Proto),Northwest TX,Open
242,"Kansas City, MO-KS",310 Hedge Ln,Paola,KS,66071-1887,38.573584,-94.857276,,Tenant,Columbia MO,Open
243,"St. Louis, MO-IL",1971 Wentzville Pkwy,Wentzville,MO,63385-3424,38.814215,-90.878928,,Modified Split Backroom,St Louis,Open
246,"Tulsa, OK",700 W Rogers Blvd,Skiatook,OK,74070-1035,36.370701,-96.011275,,Small SC Side Stockroom,Tulsa,Open
249,"Houston-The Woodlands-Sugar Land, TX",831 Highway 59 S,Cleveland,TX,77327-4873,30.333678,-95.097965,,Combined Stockroom,Houston,Open
251,Remaining US,135 Ne Loop 564,Mineola,TX,75773-2913,32.689692,-95.481885,,Tenant,Dallas East,Open
253,"St. Louis, MO-IL",1316 S State St,Jerseyville,IL,62052-3617,39.103554,-90.318415,,Combined Stockroom,St Louis North,Open
254,Remaining US,1001 North West,Olney,IL,62450-3774,38.749971,-88.097805,,Tenant,Champaign,Open
258,"Tupelo, MS",3929 N Gloster St,Tupelo,MS,38804-0915,34.308859,-88.709859,,Expansion (Full) Plus,Tupelo,Open
259,"Dallas-Fort Worth-Arlington, TX",782 E Interstate 30,Rockwall,TX,75087-5503,32.902113,-96.461722,,Seafood Internal Plus,Dallas Northeast,Open
260,"Dallas-Fort Worth-Arlington, TX",1200 N Highway 77,Waxahachie,TX,75165-5114,32.416704,-96.837827,Inlane,Seafood External High,Dallas East,Open
261,"Hot Springs, AR",4019 Central Ave,Hot Springs,AR,71913-7208,34.454549,-93.060749,Tenant,Modified Seafood,Little Rock,Open
262,Remaining US,919 Giacone Dr,Benton,IL,62812-1639,38.001016,-88.936535,,Combined Stockroom,Lafayette-IN,Open
264,"Nashville-Davidson--Murfreesboro--Franklin, TN",175 Beasley Dr,Dickson,TN,37055-2841,36.059993,-87.381204,,Expansion (Full),Clarksville,Open
265,"Dallas-Fort Worth-Arlington, TX",1900 W Moore Ave,Terrell,TX,75160-2346,32.739792,-96.306143,,Other (Non-Proto),Dallas East,Open
266,"Dallas-Fort Worth-Arlington, TX",1601 W State Highway 114,Grapevine,TX,76051-8651,32.930861,-97.101725,,Seafood Internal,Dallas Central,Open
267,"Joplin, MO",1212 S Madison St,Webb City,MO,64870-2834,37.133507,-94.478388,,Tenant,Joplin,Open
268,Remaining US,175 Ji Bell Ln,Savannah,TN,38372-5110,35.224018,-88.215038,,Modified Rear Backroom,Jackson TN,Open
269,"Lawton, OK",1002 Nw Sheridan Rd,Lawton,OK,73505-5208,34.618752,-98.424424,,Modified Seafood,OKC South,Open
271,Remaining US,1341 Highway 287 N,Bowie,TX,76230-7531,33.540576,-97.837479,,Small SC Side Stockroom,Northwest TX,Open
272,"Nashville-Davidson--Murfreesboro--Franklin, TN",3600 Mallory Ln,Franklin,TN,37067-2900,35.939003,-86.819193,,Seafood Internal,Nashville,Open
275,Remaining US,1620 W Church St,Livingston,TX,77351-9043,30.716246,-94.954851,,Other (Non-Proto),Nacagdoches,Open
277,"Oklahoma City, OK",501 Sw 19th St,Moore,OK,73160-5427,35.322494,-97.493008,Inlane (Existing),Seafood Internal,OKC South,Open
278,"Shreveport-Bossier City, LA",1645 E Bert Kouns Industrial L,Shreveport,LA,71105-5725,32.428442,-93.712184,,Seafood Internal High,Shreveport,Open
284,"Dallas-Fort Worth-Arlington, TX",930 N Walnut Creek Dr Ste 800,Mansfield,TX,76063-8021,32.576112,-97.130004,,Seafood Internal Plus High,Dallas South,Open
285,"Huntsville, TX",141 Interstate 45 S,Huntsville,TX,77340-4243,30.713841,-95.570554,,Seafood Internal Plus,Nacagdoches,Open
286,"Dallas-Fort Worth-Arlington, TX",700 E Ennis Ave,Ennis,TX,75119-4209,32.333521,-96.620795,Tenant,Rear Backroom,Dallas East,Open
287,"Birmingham-Hoover, AL",1801 Highway 78 E,Jasper,AL,35501-4037,33.842929,-87.254431,,Other (Non-Proto),Tuscaloosa,Open
295,"St. Louis, MO-IL",131 Erka Twn Cntr Dr,Eureka,MO,63025-1031,38.506613,-90.656737,,Long Modified Split,St Louis,Open
296,"Russellville, AR",1172 N. State Hwy 7,Dardanelle,AR,72834-6000,35.217948,-93.166416,,Small SC Side Stockroom,Little Rock,Open
297,"Houston-The Woodlands-Sugar Land, TX",23561 Us Hwy 59,Porter,TX,77365-4991,30.107077,-95.233707,,Seafood External,Houston,Open
298,"Albertville, AL",1972 Hwy 431,Boaz,AL,35957-5901,34.214797,-86.153409,,Expansion (Full),Birmingham,Open
299,"Bowling Green, KY",150 Walton Ave,Bowling Green,KY,42104-6361,36.948919,-86.433491,Tenant,Seafood Internal Plus High,Bowling Green,Open
300,"Anniston-Oxford-Jacksonville, AL",1625 Pelham Rd S,Jacksonville,AL,36265-3314,33.788222,-85.765028,,Modified Split Backroom,Auburn,Open
301,"Gadsden, AL",340 E Meighan Blvd,Gadsden,AL,35903-1049,34.012884,-85.987298,,Modified Split Backroom,Birmingham,Open
302,"Carbondale-Marion, IL",6495 Country Club Rd,Murphysboro,IL,62966-5202,37.759656,-89.283378,,Centennial Other,Lafayette-IN,Open
304,"Nashville-Davidson--Murfreesboro--Franklin, TN",3360 Tom Austin Hwy,Springfield,TN,37172-4516,36.483683,-86.888472,,Seafood External,Clarksville,Open
306,"Albertville, AL",1450 No. Brindlee Mt,Arab,AL,35016-5431,34.341786,-86.500541,,Other (Non-Proto),Huntsville,Open
307,"Monroe, LA",1025 Glenwood Dr,West Monroe,LA,71291-5501,32.508177,-92.154478,,Seafood Internal High,Monroe,Open
308,"Tullahoma-Manchester, TN",2518 Hillsboro Blvd,Manchester,TN,37355-6535,35.452765,-86.047443,,Rear Backroom,Nashville,Open
309,"Lafayette, LA",3005 Charity Street,Abbeville,LA,70510-4140,29.972959,-92.095153,Inlane,Rear Backroom,Lafayette,Open
